Frame #,Pressure (hP),Temperature (?C),Humidity (%),GPS Alt.,GPS Wind Dir. ,GPS Wind Spd. 
115,974.8,33.6,52,0,0,   0 0000000000000000
116,974.7,32.7,51,0,0,   0 0000000000000000
117,974.8,35.7,54,0,0,   0 0000000000000000
118,974.8,35.8,51,0,0,   0 0000000000000000
119,974.9,33.6,51,0,0,   0 0000000000000000
120,974.7,37.1,53,0,0,   0 0000000000000000
121,974.8,36.4,51,0,0,   0 0000000000000000
123,974.9,35.2,49,0,0,   0 0000000000000000
124,974.7,34.8,48,0,0,   0 0000000000000000
125,974.8,36,50,0,0,   0 0000000000000000
126,974.6,37.6,48,0,0,   0 0000000000000000
127,974.6,35,51,0,0,   0 0000000000000000
128,974.2,33,47,0,0,   0 0000000000000000
129,973.9,32,51,0,0,   0 0000000000000000
130,974.1,30,53,0,0,   0 0000000000000000
131,972.8,29.5,54,0,0,   0 0000000000000000
132,972.5,29.4,55,0,0,   0 0000000000000000
133,972.2,29.6,56,0,0,   0 0000000000000000
134,972.5,29.6,57,0,0,   0 0000000000000000
135,972.5,29.4,57,0,0,   0 0000000000000000
136,972.4,29.5,58,0,0,   0 0000000000000000
137,971.8,29.5,58,0,0,   0 0000000000000000
138,971.6,29.3,59,0,0,   0 0000000000000000
139,971.9,29.4,59,0,0,   0 0000000000000000
140,971.3,29.4,59,0,0,   0 0000000000000000
141,971.2,29.4,59,0,0,   0 0000000000000000
142,970.7,29.3,59,0,0,   0 0000000000000000
143,970.5,29.4,60,0,0,   0 0000000000000000
144,969.9,29.4,60,0,0,   0 0000000000000000
145,969.4,29.5,60,0,0,   0 0000000000000000
146,968.8,29.3,60,0,0,   0 0000000000000000
147,968.2,29.4,61,0,0,   0 0000000000000000
149,967.8,29.2,60,0,0,   0 0000000000000000
150,967.6,29.1,60,0,0,   0 0000000000000000
151,967.5,29.1,59,0,0,   0 0000000000000000
152,967.4,29,60,0,0,   0 0000000000000000
153,966.8,29.1,60,0,0,   0 0000000000000000
154,966.8,29,60,0,0,   0 0000000000000000
155,966.8,29,60,0,0,   0 0000000000000000
156,966.8,29,60,0,0,   0 0000000000000000
157,966.3,29,61,0,0,   0 0000000000000000
158,966.3,29,61,0,0,   0 0000000000000000
159,966.1,29,60,0,0,   0 0000000000000000
160,966,29,61,0,0,   0 0000000000000000
161,965.7,29,61,0,0,   0 0000000000000000
162,965.7,29,61,0,0,   0 0000000000000000
163,965.7,29,61,0,0,   0 0000000000000000
164,965.9,29,61,0,0,   0 0000000000000000
165,966,29,61,0,0,   0 0000000000000000
166,966.2,29.1,61,0,0,   0 0000000000000000
168,966.3,29.1,61,0,0,   0 0000000000000000
169,966.5,29.2,61,0,0,   0 0000000000000000
170,966.2,29.2,62,0,0,   0 0000000000000000
171,965.9,29.2,62,0,0,   0 0000000000000000
172,965.5,29.1,61,0,0,   0 0000000000000000
173,965.3,29.1,61,0,0,   0 0000000000000000
174,965.3,29.1,62,0,0,   0 0000000000000000
175,965.1,29.1,62,0,0,   0 0000000000000000
176,964.9,29.1,62,0,0,   0 0000000000000000
177,965,29,62,0,0,   0 0000000000000000
178,964.8,29.1,62,0,0,   0 0000000000000000
179,964.8,28.9,61,0,0,   0 0000000000000000
180,964.4,28.9,61,0,0,   0 0000000000000000
181,964,28.8,61,0,0,   0 0000000000000000
182,964.6,28.8,60,0,0,   0 0000000000000000
183,964.7,28.9,60,0,0,   0 0000000000000000
0,964.5,28.9,61,0,0,   0 0000000000000000
185,964.2,28.9,61,0,0,   0 0000000000000000
186,964.2,28.8,61,0,0,   0 0000000000000000
187,964.3,28.8,61,0,0,   0 0000000000000000
188,964.5,28.8,61,0,0,   0 0000000000000000
189,964.7,28.9,61,0,0,   0 0000000000000000
190,964.9,28.9,62,0,0,   0 0000000000000000
191,964.8,28.8,61,0,0,   0 0000000000000000
193,965,29,62,0,0,   0 0000000000000000
194,964.5,29,63,0,0,   0 0000000000000000
195,964.4,29,63,0,0,   0 0000000000000000
199,964.2,29.1,62,0,0,   0 0000000000000000
200,964.2,29,62,0,0,   0 0000000000000000
201,964.5,29,62,0,0,   0 0000000000000000
202,964.8,28.9,62,0,0,   0 0000000000000000
203,965.4,29,62,0,0,   0 0000000000000000
204,966.1,29,61,0,0,   0 0000000000000000
205,966.2,29,60,0,0,   0 0000000000000000
206,966.6,29,60,0,0,   0 0000000000000000
207,966.9,29,60,0,0,   0 0000000000000000
208,967.3,28.9,60,0,0,   0 0000000000000000
209,967.8,29,60,0,0,   0 0000000000000000
210,968.2,29.1,60,0,0,   0 0000000000000000
211,968.7,29.1,60,0,0,   0 0000000000000000
212,969.3,29.1,60,0,0,   0 0000000000000000
213,969.7,29.2,60,0,0,   0 0000000000000000
214,970,29.3,61,0,0,   0 0000000000000000
215,970.1,29.6,62,0,0,   0 0000000000000000
216,970.3,29.5,61,0,0,   0 0000000000000000
218,970.6,29.7,60,0,0,   0 0000000000000000
219,970.6,29.7,61,0,0,   0 0000000000000000
220,970.9,29.7,61,0,0,   0 0000000000000000
222,971.5,29.9,62,0,0,   0 0000000000000000
223,971.9,29.4,59,0,0,   0 0000000000000000
224,971.9,29.5,60,0,0,   0 0000000000000000
225,971.8,29.5,60,0,0,   0 0000000000000000
226,971.9,30.1,62,0,0,   0 0000000000000000
227,972.2,29.5,60,0,0,   0 0000000000000000
228,972.6,29.7,59,0,0,   0 0000000000000000
229,973,29.5,59,0,0,   0 0000000000000000
230,973.1,29.6,60,0,0,   0 0000000000000000
231,973.4,29.7,60,0,0,   0 0000000000000000
232,973.4,29.9,61,0,0,   0 0000000000000000
233,973.9,29.6,59,0,0,   0 0000000000000000
234,973.9,29.7,60,0,0,   0 0000000000000000
235,974.4,29.9,60,0,0,   0 0000000000000000
236,974.3,29.9,60,0,0,   0 0000000000000000
237,974.3,30,60,0,0,   0 0000000000000000
238,974.5,31.2,63,0,0,   0 0000000000000000
239,974.4,31.9,59,0,0,   0 0000000000000000
240,973.8,30.5,57,0,0,   0 0000000000000000
241,973.8,29.7,56,0,0,   0 0000000000000000
242,973.5,29.7,57,0,0,   0 0000000000000000
243,973,29.6,57,0,0,   0 0000000000000000
244,972.8,29.5,58,0,0,   0 0000000000000000
245,971.7,29.4,58,0,0,   0 0000000000000000
246,971.1,29.4,59,0,0,   0 0000000000000000
247,971.3,29.4,59,0,0,   0 0000000000000000
248,971,29.3,59,0,0,   0 0000000000000000
249,970.7,29.3,60,0,0,   0 0000000000000000
250,970.1,29.4,60,0,0,   0 0000000000000000
251,970,29.4,61,0,0,   0 0000000000000000
252,969.8,29.4,61,0,0,   0 0000000000000000
253,969,29.4,61,0,0,   0 0000000000000000
254,968.4,29.3,61,0,0,   0 0000000000000000
255,968.5,29.4,62,0,0,   0 0000000000000000
256,968.5,29.4,61,0,0,   0 0000000000000000
257,968.1,29.4,61,0,0,   0 0000000000000000
258,968,29.3,62,0,0,   0 0000000000000000
259,967.5,29.3,61,0,0,   0 0000000000000000
260,967.1,29.3,61,0,0,   0 0000000000000000
261,966.6,29.3,61,0,0,   0 0000000000000000
262,966.2,29,60,0,0,   0 0000000000000000
263,965.5,29,61,0,0,   0 0000000000000000
264,965.4,29,61,0,0,   0 0000000000000000
265,964.6,28.9,61,0,0,   0 0000000000000000
270,962.7,28.7,62,0,0,   0 0000000000000000
271,962.5,28.7,62,0,0,   0 0000000000000000
272,962.6,28.7,62,0,0,   0 0000000000000000
273,961.9,28.7,62,0,0,   0 0000000000000000
274,961.3,28.7,63,0,0,   0 0000000000000000
276,960.9,28.6,63,0,0,   0 0000000000000000
277,960.2,28.5,63,0,0,   0 0000000000000000
278,959.9,28.5,63,0,0,   0 0000000000000000
279,959.6,28.5,63,0,0,   0 0000000000000000
280,959.2,28.5,63,0,0,   0 0000000000000000
281,958.6,28.4,63,0,0,   0 0000000000000000
282,958.3,28.3,63,0,0,   0 0000000000000000
283,957.8,28.3,63,0,0,   0 0000000000000000
284,957.3,28.1,63,0,0,   0 0000000000000000
285,957.2,28.1,63,0,0,   0 0000000000000000
286,956.8,28.1,64,0,0,   0 0000000000000000
287,956.6,28.1,64,0,0,   0 0000000000000000
288,956.3,28.1,64,0,0,   0 0000000000000000
289,956.1,28.1,64,0,0,   0 0000000000000000
290,955.5,28.3,64,0,0,   0 0000000000000000
291,955,28.3,64,0,0,   0 0000000000000000
292,955.5,28.3,64,0,0,   0 0000000000000000
293,955.1,28.1,64,0,0,   0 0000000000000000
294,954.4,28,64,0,0,   0 0000000000000000
295,953.9,27.9,64,0,0,   0 0000000000000000
296,953.6,27.9,64,0,0,   0 0000000000000000
297,953.5,27.8,65,0,0,   0 0000000000000000
298,953.1,27.8,65,0,0,   0 0000000000000000
299,952.6,27.7,65,0,0,   0 0000000000000000
300,952.6,27.7,65,0,0,   0 0000000000000000
301,952.6,27.8,65,0,0,   0 0000000000000000
302,952.5,27.8,65,0,0,   0 0000000000000000
303,951.9,27.7,64,0,0,   0 0000000000000000
304,951.1,27.7,64,0,0,   0 0000000000000000
305,950.6,27.7,64,0,0,   0 0000000000000000
306,950.4,27.6,65,0,0,   0 0000000000000000
307,950.3,27.6,65,0,0,   0 0000000000000000
308,950.2,27.6,65,0,0,   0 0000000000000000
310,949.4,27.5,65,0,0,   0 0000000000000000
311,948.8,27.4,65,0,0,   0 0000000000000000
312,948.1,27.3,65,0,0,   0 0000000000000000
313,947.8,27.3,65,0,0,   0 0000000000000000
314,947.3,27.2,66,0,0,   0 0000000000000000
315,947.4,27.2,66,0,0,   0 0000000000000000
316,946.8,27.1,66,0,0,   0 0000000000000000
317,946.3,27.1,66,0,0,   0 0000000000000000
318,945.8,27,67,0,0,   0 0000000000000000
321,945.9,27.1,67,0,0,   0 0000000000000000
322,945.5,27.1,67,0,0,   0 0000000000000000
323,945.2,27.2,67,0,0,   0 0000000000000000
324,944.9,27.2,67,0,0,   0 0000000000000000
325,944.9,27.2,66,0,0,   0 0000000000000000
326,944.2,27,66,0,0,   0 0000000000000000
327,944,27,66,0,0,   0 0000000000000000
328,943.9,27,66,0,0,   0 0000000000000000
329,943.6,26.8,67,0,0,   0 0000000000000000
330,943.3,26.8,67,0,0,   0 0000000000000000
332,942.8,26.8,67,0,0,   0 0000000000000000
333,943.1,26.8,67,0,0,   0 0000000000000000
334,943.6,26.9,67,0,0,   0 0000000000000000
335,942.5,26.9,66,0,0,   0 0000000000000000
336,942,26.8,66,0,0,   0 0000000000000000
337,942.3,26.7,66,0,0,   0 0000000000000000
338,942.3,26.8,66,0,0,   0 0000000000000000
339,942.6,26.8,66,0,0,   0 0000000000000000
340,942.9,26.8,66,0,0,   0 0000000000000000
341,943,26.8,66,0,0,   0 0000000000000000
342,943.1,26.8,67,0,0,   0 0000000000000000
343,943.2,26.8,67,0,0,   0 0000000000000000
344,943.6,26.8,67,0,0,   0 0000000000000000
345,944,26.9,67,0,0,   0 0000000000000000
346,943.9,26.9,67,0,0,   0 0000000000000000
347,943.9,26.9,67,0,0,   0 0000000000000000
348,944.2,26.9,67,0,0,   0 0000000000000000
349,944.5,26.9,67,0,0,   0 0000000000000000
350,945.1,27,66,0,0,   0 0000000000000000
351,945.4,27,66,0,0,   0 0000000000000000
352,945.7,27,66,0,0,   0 0000000000000000
353,946,27,66,0,0,   0 0000000000000000
354,946.2,27.1,65,0,0,   0 0000000000000000
355,947,27.2,66,0,0,   0 0000000000000000
356,947.4,27.2,66,0,0,   0 0000000000000000
360,948.2,27.2,66,0,0,   0 0000000000000000
361,949,27.3,66,0,0,   0 0000000000000000
362,949.5,27.4,66,0,0,   0 0000000000000000
363,950.2,27.4,66,0,0,   0 0000000000000000
364,950.5,27.5,65,0,0,   0 0000000000000000
366,951.4,27.6,66,0,0,   0 0000000000000000
367,951.7,27.6,66,0,0,   0 0000000000000000
368,951.9,27.6,65,0,0,   0 0000000000000000
369,952.3,27.7,66,0,0,   0 0000000000000000
370,952.9,27.7,65,0,0,   0 0000000000000000
371,952.9,27.6,65,0,0,   0 0000000000000000
373,953.1,27.6,66,0,0,   0 0000000000000000
374,953.5,27.6,65,0,0,   0 0000000000000000
376,954.9,27.8,65,0,0,   0 0000000000000000
377,955.2,27.8,65,0,0,   0 0000000000000000
378,955.5,27.8,65,0,0,   0 0000000000000000
382,956.1,28.3,66,0,0,   0 0000000000000000
385,956.4,28.3,65,0,0,   0 0000000000000000
386,956.6,28.3,65,0,0,   0 0000000000000000
387,956.8,28.3,66,0,0,   0 0000000000000000
388,957.1,28.4,65,0,0,   0 0000000000000000
389,957.3,28.3,65,0,0,   0 0000000000000000
390,957.8,28.3,65,0,0,   0 0000000000000000
391,958.6,28.4,65,0,0,   0 0000000000000000
392,959.2,28.5,65,0,0,   0 0000000000000000
393,960.1,28.6,64,0,0,   0 0000000000000000
394,960.4,28.7,64,0,0,   0 0000000000000000
395,961,28.6,63,0,0,   0 0000000000000000
397,961.3,28.7,64,0,0,   0 0000000000000000
398,961.5,28.7,63,0,0,   0 0000000000000000
399,962.4,28.8,64,0,0,   0 0000000000000000
400,963,28.8,63,0,0,   0 0000000000000000
401,963.3,28.9,63,0,0,   0 0000000000000000
402,963.5,28.9,63,0,0,   0 0000000000000000
403,963.9,29,63,0,0,   0 0000000000000000
404,964,28.9,63,0,0,   0 0000000000000000
405,964.4,28.9,63,0,0,   0 0000000000000000
406,964.8,29,63,0,0,   0 0000000000000000
407,965,28.9,62,0,0,   0 0000000000000000
408,965.5,28.8,62,0,0,   0 0000000000000000
409,965.8,28.8,62,0,0,   0 0000000000000000
410,966.2,28.9,63,0,0,   0 0000000000000000
411,966.7,28.9,62,0,0,   0 0000000000000000
413,967.3,29,62,0,0,   0 0000000000000000
414,967.6,29,62,0,0,   0 0000000000000000
415,968,29,61,0,0,   0 0000000000000000
416,968.3,29,61,0,0,   0 0000000000000000
417,969,29.1,62,0,0,   0 0000000000000000
418,969.9,29.3,62,0,0,   0 0000000000000000
419,970.4,29.2,61,0,0,   0 0000000000000000
420,971.3,29.4,61,0,0,   0 0000000000000000
421,972.2,29.5,61,0,0,   0 0000000000000000
422,972.8,29.6,61,0,0,   0 0000000000000000
423,972.9,29.8,61,0,0,   0 0000000000000000
424,973.3,29.7,61,0,0,   0 0000000000000000
425,973.5,29.8,60,0,0,   0 0000000000000000
426,974,29.6,60,0,0,   0 0000000000000000
427,974.1,29.7,60,0,0,   0 0000000000000000
428,974.2,30,61,0,0,   0 0000000000000000
429,974.1,29.9,60,0,0,   0 0000000000000000
431,974.5,30,60,0,0,   0 0000000000000000
432,974.5,30.4,62,0,0,   0 0000000000000000
433,974.4,31,60,0,0,   0 0000000000000000
434,974.4,31.1,59,0,0,   0 0000000000000000
435,974.3,30.1,58,0,0,   0 0000000000000000
436,974.5,30.2,60,0,0,   0 0000000000000000
437,974.3,29.8,60,0,0,   0 0000000000000000
438,974.3,29.8,59,0,0,   0 0000000000000000
439,974.4,29.7,59,0,0,   0 0000000000000000
440,974.5,29.8,59,0,0,   0 0000000000000000
441,974.6,30.2,60,0,0,   0 0000000000000000
442,974.6,33,62,0,0,   0 0000000000000000
443,974.7,33.9,61,0,0,   0 0000000000000000
444,974.8,34.6,59,0,0,   0 0000000000000000
446,974.8,35,56,0,0,   0 0000000000000000
447,974.7,33.1,56,0,0,   0 0000000000000000
448,974.8,35,57,0,0,   0 0000000000000000
449,974.6,32.4,52,0,0,   0 0000000000000000
450,974.7,35.4,53,0,0,   0 0000000000000000
451,974.6,33.2,55,0,0,   0 0000000000000000
452,974.8,32.3,55,0,0,   0 0000000000000000
453,974.7,34.6,53,0,0,   0 0000000000000000
454,974.8,32.9,53,0,0,   0 0000000000000000
455,974.7,34.6,53,0,0,   0 0000000000000000
